handle,sku,name,brand,finish,description,install_notes,recommended_for,notes
3m-2080-matte-red-vinyl-wrap-m13,M13,3M 2080 Matte Red Vinyl Wrap,3M,Matte,,,,
3m-2080-matte-silver-vinyl-wrap-m21,M21,3M 2080 Matte Silver Vinyl Wrap,3M,Matte,,,,
3m-2080-matte-slate-blue-metallic-vinyl-wrap-m217,M217,3M 2080 Matte Slate Blue Metallic Vinyl Wrap,3M,Metallic,,,,
3m-2080-matte-strawberry-vinyl-wrap-m33,M33,3M 2080 Matte Strawberry Vinyl Wrap,3M,Matte,,,,
3m-2080-matte-white-vinyl-wrap-m10,M10,3M 2080 Matte White Vinyl Wrap,3M,Matte,,,,
3m-2080-satin-apple-green-vinyl-wrap-s196,S196,3M 2080 Satin Apple Green Vinyl Wrap,3M,Satin,,,,
3m-2080-satin-battleship-gray-vinyl-wrap-s51,S51,3M 2080 Satin Battleship Gray Vinyl Wrap,3M,Satin,,,,
3m-2080-satin-bitter-yellow-vinyl-wrap-s335,S335,3M 2080 Satin Bitter Yellow Vinyl Wrap,3M,Satin,,,,
3m-2080-satin-black-vinyl-wrap-s12,S12,3M 2080 Satin Black Vinyl Wrap,3M,Satin,,,,
3m-2080-satin-dark-gray-vinyl-wrap-s261,S261,3M 2080 Satin Dark Gray Vinyl Wrap,3M,Satin,,,,
3m-2080-satin-flip-electric-coral-vinyl-wrap-sp213,SP213,3M 2080 Satin Flip Electric Coral Vinyl Wrap,3M,Satin,,,,
3m-2080-satin-flip-ghost-pearl-vinyl-wrap-sp280,SP280,3M 2080 Satin Flip Ghost Pearl Vinyl Wrap,3M,Satin,,,,
3m-2080-satin-flip-golden-aura-vinyl-wrap-sp264,SP264,3M 2080 Satin Flip Golden Aura Vinyl Wrap,3M,Satin,,,,
3m-2080-satin-flip-psychedelic-vinyl-wrap-sp281,SP281,3M 2080 Satin Flip Psychedelic Vinyl Wrap,3M,Satin,,,,
3m-2080-satin-flip-volcanic-flare-vinyl-wrap-sp236,SP236,3M 2080 Satin Flip Volcanic Flare Vinyl Wrap,3M,Satin,,,,
blowout-stock-180-sq-ft-231656,SP236,3M 2080 Satin Flip Volcanic Flare Vinyl Wrap,3M,Satin,,,,
3m-2080-satin-frozen-berry-metallic-vinyl-wrap-s238,S238,3M 2080 Satin Frozen Berry Metallic Vinyl Wrap,3M,Metallic,,,,
3m-2080-satin-frozen-vanilla-vinyl-wrap-sp240,SP240,3M 2080 Satin Frozen Vanilla Vinyl Wrap,3M,Satin,,,,
3m-2080-satin-gold-dust-black-vinyl-wrap-sp242,SP242,3M 2080 Satin Gold Dust Black Vinyl Wrap,3M,Satin,,,,
3m-2080-satin-key-west-vinyl-wrap-s57,S57,3M 2080 Satin Key West Vinyl Wrap,3M,Satin,,,,
3m-2080-satin-komodo-green-vinyl-wrap-s56,S56,3M 2080 Satin Komodo Green Vinyl Wrap,3M,Satin,,,,
3m-2080-satin-lunar-blue-vinyl-wrap-s87,S87,3M 2080 Satin Lunar Blue Vinyl Wrap,3M,Satin,,,,
